Start_scren 1-41
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X                                                                                                                        X
x                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
welcom_scren 42-82
XyXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X                                                                                                                        X
x  __          ___                  _                                                                                    X
X  \ \        / (_)                | |                                   Chose your name and press enter:                X
X   \ \  /\  / / _ ______ _ _ __ __| |                                                                                   X
X    \ \/  \/ / | |_  / _` | '__/ _` |                                                                                   X
X     \  /\  /  | |/ / (_| | | | (_| |                                                                                   X
X      \/  \/   |_/___\__,_|_|\__,_| |                                                                                   X X                                                                                                                        X x                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                    dddddddddddddddddd                                                                                  X
X                     ffffffffffsfafsagt                                Change our specjalization:                       X
X                                                                                                                        X
X                                                                       Pres S to by Scroll Master                       X
X                                                                                                                        X
X                            ffffffffff                                 Pres B to by Bankier                             X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                                                                                                                        X
X                     XXXXXXXXXXXXXXXXXX                                                                                 X
X                                       X                                                                                X
X                    Scroll Master:     X                                                                                X
X                                       X                                          zzz                                   X
X                 You faund more scroll X                                                                                X
X                                                                                                                        X
X                   dbwgjhdwhydgbwhbgdhwb                                                                                X
X                                                                                                                        X
X                                                                                                                        X
X                    Bankier:                                                                                            X
X                                                                                                                        X
X                                                                                                                        X
